Round,Loss,AUC,Precision,Recall,F1score
1,0.6280111074447632,0.720721960067749,0.5617897510528564,0.5617897510528564,0.5617897510528564,0.5617897549438382
2,0.538232147693634,0.8291720747947693,0.7537878751754761,0.7537878751754761,0.7537878751754761,0.7537878973581702
3,0.49442094564437866,0.8684180378913879,0.7999526262283325,0.7999526262283325,0.7999526262283325,0.7999526562073196
4,0.436225950717926,0.8950525522232056,0.8243371248245239,0.8243371248245239,0.8243371248245239,0.8243371225130841
5,0.4181118607521057,0.9010850787162781,0.8271780014038086,0.8271780014038086,0.8271780014038086,0.8271780341242784
6,0.40263837575912476,0.9069475531578064,0.8295454382896423,0.8295454382896423,0.8295454382896423,0.8295454422979246
7,0.38598570227622986,0.9102907180786133,0.8353456258773804,0.8353456258773804,0.8353456258773804,0.8353456145636027
8,0.36827918887138367,0.9183017015457153,0.8397253751754761,0.8397253751754761,0.8397253751754761,0.8397253485066354
9,0.35473039746284485,0.9239707589149475,0.8420928120613098,0.8420928120613098,0.8420928120613098,0.8420928465817424
10,0.3490094542503357,0.926454484462738,0.8430397510528564,0.8430397510528564,0.8430397510528564,0.8430397359702373
11,0.33858996629714966,0.9306233525276184,0.8484848737716675,0.8484848737716675,0.8484848737716675,0.8484848910595935
12,0.322479248046875,0.9362993240356445,0.85546875,0.85546875,0.85546875,0.85546875
13,0.3193429708480835,0.9373974800109863,0.8561789989471436,0.8561789989471436,0.8561789989471436,0.8561789993247148
14,0.31379204988479614,0.9393335580825806,0.857362687587738,0.857362687587738,0.857362687587738,0.8573626723675677
15,0.2952970564365387,0.9446536302566528,0.8648200631141663,0.8648200631141663,0.8648200631141663,0.864820036124484
16,0.29394280910491943,0.9449449777603149,0.865175187587738,0.865175187587738,0.865175187587738,0.8651752080280362
17,0.2877618372440338,0.9469255208969116,0.8665956258773804,0.8665956258773804,0.8665956258773804,0.8665956579592273
18,0.2828763425350189,0.9483790993690491,0.8686079382896423,0.8686079382896423,0.8686079382896423,0.8686079560562837
19,0.28121769428253174,0.9489983916282654,0.8699100613594055,0.8699100613594055,0.8699100613594055,0.8699100335882918
20,0.27992716431617737,0.949202835559845,0.8705018758773804,0.8705018758773804,0.8705018758773804,0.870501878928814
21,0.2777770757675171,0.9497881531715393,0.8707386255264282,0.8707386255264282,0.8707386255264282,0.8707386143886773
22,0.27721214294433594,0.9499828219413757,0.8714488744735718,0.8714488744735718,0.8714488744735718,0.871448869757134
23,0.2766147553920746,0.9501804709434509,0.8712121248245239,0.8712121248245239,0.8712121248245239,0.8712121098094936
24,0.27486735582351685,0.9507526159286499,0.8721590638160706,0.8721590638160706,0.8721590638160706,0.872159053049462
25,0.2741338312625885,0.9508677124977112,0.873106062412262,0.873106062412262,0.873106062412262,0.8731060672000669
26,0.27281007170677185,0.9512820243835449,0.8741713762283325,0.8741713762283325,0.8741713762283325,0.8741713748968544
27,0.26964133977890015,0.9521340131759644,0.8766571879386902,0.8766571879386902,0.8766571879386902,0.8766571658555248
28,0.26719990372657776,0.9530138969421387,0.8757102489471436,0.8757102489471436,0.8757102489471436,0.8757102174111318
29,0.26658061146736145,0.9530648589134216,0.876893937587738,0.876893937587738,0.876893937587738,0.8768939083686275
30,0.2661243975162506,0.9531762599945068,0.876893937587738,0.876893937587738,0.876893937587738,0.8768939083686275
31,0.2657841145992279,0.9532202482223511,0.8793797492980957,0.8793797492980957,0.8793797492980957,0.8793797612288953
32,0.26424556970596313,0.9537593722343445,0.8796164989471436,0.8796164989471436,0.8796164989471436,0.8796165289605649
33,0.2630322277545929,0.9541030526161194,0.8803266882896423,0.8803266882896423,0.8803266882896423,0.8803266693212487
34,0.2605017423629761,0.9547207355499268,0.8821022510528564,0.8821022510528564,0.8821022510528564,0.8821022324149516
35,0.26098760962486267,0.9543986916542053,0.8819838762283325,0.8819838762283325,0.8819838762283325,0.8819838896918167
36,0.2590619921684265,0.9552205801010132,0.8822206258773804,0.8822206258773804,0.8822206258773804,0.8822206109421084
37,0.25736626982688904,0.9559646248817444,0.8831676244735718,0.8831676244735718,0.8831676244735718,0.8831676440737974
38,0.25701212882995605,0.956017255783081,0.8828125,0.8828125,0.8828125,0.8828125
39,0.25633084774017334,0.9558691382408142,0.8838778138160706,0.8838778138160706,0.8838778138160706,0.883877810041116
40,0.2560531198978424,0.9559674859046936,0.8855350613594055,0.8855350613594055,0.8855350613594055,0.8855350740431343
41,0.25528639554977417,0.9560710787773132,0.8855350613594055,0.8855350613594055,0.8855350613594055,0.8855350740431343
42,0.25564706325531006,0.9559465050697327,0.8857717514038086,0.8857717514038086,0.8857717514038086,0.8857717735484212
43,0.25405353307724,0.9565683603286743,0.8868371248245239,0.8868371248245239,0.8868371248245239,0.8868371058733926
44,0.2529568076133728,0.956872284412384,0.8871922492980957,0.8871922492980957,0.8871922492980957,0.8871922527259017
45,0.25123199820518494,0.9572867751121521,0.8870738744735718,0.8870738744735718,0.8870738744735718,0.88707385724163
46,0.25046131014823914,0.9575898051261902,0.8871922492980957,0.8871922492980957,0.8871922492980957,0.8871922527259017
47,0.24821333587169647,0.958232581615448,0.8884943127632141,0.8884943127632141,0.8884943127632141,0.8884943247092654
48,0.2480703443288803,0.9579823017120361,0.888612687587738,0.888612687587738,0.888612687587738,0.8886126770950723
49,0.24681967496871948,0.9584648609161377,0.8893229365348816,0.8893229365348816,0.8893229365348816,0.8893229340331733
50,0.2461748719215393,0.9585667252540588,0.8895596861839294,0.8895596861839294,0.8895596861839294,0.8895597023250952
