Round,Loss,AUC,Precision,Recall,F1score
1,0.3096942603588104,0.9420225024223328,0.8671875,0.8671875,0.8671875
2,0.22966012358665466,0.9628312587738037,0.90625,0.90625,0.90625
3,0.2409326434135437,0.9608572721481323,0.9000901579856873,0.9000901579856873,0.9000901727944368
4,0.2095133364200592,0.9679728150367737,0.9148136973381042,0.9148136973381042,0.914813676051
5,0.23338958621025085,0.962353527545929,0.9021934866905212,0.9021934866905212,0.9021935024390051
6,0.23582901060581207,0.9610714912414551,0.9020432829856873,0.9020432829856873,0.9020432773713102
7,0.22437627613544464,0.9647918939590454,0.9067007303237915,0.9067007303237915,0.9067007609956249
8,0.22792431712150574,0.9635394215583801,0.9029446840286255,0.9029446840286255,0.9029446894420967
9,0.23082269728183746,0.9622758626937866,0.9035456776618958,0.9035456776618958,0.9035456934737236
10,0.21486133337020874,0.96715247631073,0.9103065133094788,0.9103065133094788,0.9103064879941337
11,0.21969281136989594,0.9652194976806641,0.9086538553237915,0.9086538553237915,0.9086538505690049
12,0.22682611644268036,0.9634579420089722,0.9048978090286255,0.9048978090286255,0.904897789214965
13,0.21559381484985352,0.9661049246788025,0.911057710647583,0.911057710647583,0.9110577080345111
14,0.22075019776821136,0.9646682143211365,0.909104585647583,0.909104585647583,0.9091045881510944
15,0.22328051924705505,0.9639080166816711,0.9077523946762085,0.9077523946762085,0.9077524114619742
16,0.2155272364616394,0.9659256935119629,0.9116586446762085,0.9116586446762085,0.911658666497898
17,0.21614016592502594,0.9660184383392334,0.9103065133094788,0.9103065133094788,0.9103064879941337
18,0.2190827578306198,0.965217113494873,0.9085035920143127,0.9085035920143127,0.9085035907966068
19,0.21860207617282867,0.9649175405502319,0.9089543223381042,0.9089543223381042,0.9089543462527155
20,0.2192401885986328,0.9646599292755127,0.908203125,0.908203125,0.908203125
21,0.2177000194787979,0.9646159410476685,0.9083533883094788,0.9083533883094788,0.9083534185615002
22,0.2090279459953308,0.9670534729957581,0.9125601053237915,0.9125601053237915,0.9125600954865568
23,0.21579018235206604,0.9654616713523865,0.9086538553237915,0.9086538553237915,0.9086538505690049
24,0.21866600215435028,0.9644439220428467,0.9074519276618958,0.9074519276618958,0.9074519079981322
