Round,Loss,AUC,Precision,Recall,F1score
0,0.7065165,0.29137513,0.3838729,0.3838729,0.38387290162745835
1,0.5959813,0.6626273,0.57551235,0.57551235,0.5755123377931427
2,0.50514823,0.7908727,0.6721117,0.6721117,0.6721116926032374
3,0.45209742,0.84487027,0.7235299,0.7235299,0.723529895870413
4,0.41795096,0.873789,0.75568753,0.75568753,0.7556875182249906
5,0.3927923,0.89194536,0.7784625,0.7784625,0.7784624921346411
6,0.37371364,0.90422964,0.795388,0.795388,0.7953879666041086
7,0.35765362,0.91342103,0.8088432,0.8088432,0.8088431973826057
8,0.3440982,0.92051667,0.8198858,0.8198858,0.8198858034018783
9,0.33210355,0.9263026,0.82919514,0.82919514,0.829195175877143
10,0.32168037,0.931007,0.83713585,0.83713585,0.8371358414343691
11,0.312754,0.9348003,0.8439016,0.8439016,0.8439015959451118
12,0.3047509,0.9380282,0.8498778,0.8498778,0.8498777893988484
13,0.2976746,0.9408028,0.8551275,0.8551275,0.8551275248125714
14,0.29131234,0.94313294,0.85965747,0.85965747,0.8596574321004192
15,0.28557146,0.94518954,0.863714,0.863714,0.8637139807308348
16,0.28023067,0.9470618,0.86758155,0.86758155,0.8675815766615783
17,0.2755609,0.9486848,0.87092865,0.87092865,0.8709286726484247
18,0.27119815,0.95013356,0.8740015,0.8740015,0.8740015216207634
19,0.2671754,0.9514451,0.876834,0.876834,0.8768339631073236
20,0.2633012,0.9526758,0.8793896,0.8793896,0.8793895826466416
21,0.25973332,0.95379066,0.88171965,0.88171965,0.8817196283516556
22,0.2564831,0.9547749,0.8838664,0.8838664,0.8838664012195713
23,0.25348842,0.9556798,0.88584054,0.88584054,0.8858405276620048
24,0.2507068,0.95649445,0.88766855,0.88766855,0.8876685593059698
25,0.24815327,0.9572425,0.88935596,0.88935596,0.8893559289955169
26,0.24577056,0.9579232,0.8909129,0.8909129,0.8909129019408394
27,0.24354218,0.9585497,0.8923798,0.8923798,0.8923797906296094
28,0.24145238,0.9591424,0.8937456,0.8937456,0.8937456196622736
29,0.23949489,0.9596995,0.89505494,0.89505494,0.8950549161490704
30,0.23767865,0.9602114,0.89625585,0.89625585,0.8962558751341221
31,0.23595965,0.96067774,0.8974003,0.8974003,0.897400344410313
32,0.2343338,0.9611176,0.8984844,0.8984844,0.8984843970774443
33,0.23278801,0.96153104,0.89948726,0.89948726,0.8994872536361668
34,0.23132436,0.9619201,0.9004582,0.9004582,0.9004582059049795
35,0.22993912,0.96227914,0.9013629,0.9013629,0.9013628825130469
36,0.22862801,0.9626207,0.9022187,0.9022187,0.902218697606707
37,0.22736554,0.96294475,0.9030294,0.9030294,0.90302936855653
38,0.22617398,0.96325445,0.9038214,0.9038214,0.9038214324599682
39,0.22501993,0.9635497,0.90456265,0.90456265,0.9045626715738747
40,0.22393945,0.96382535,0.9052859,0.9052859,0.9052858680801521
41,0.22291517,0.9640857,0.9059676,0.9059676,0.905967612072254
42,0.22191529,0.96433246,0.9066176,0.9066176,0.9066175848437519
43,0.22097844,0.96456575,0.9072313,0.9072313,0.9072312487866123
44,0.22005817,0.96479976,0.90782434,0.90782434,0.9078243279310002
45,0.2191862,0.96500987,0.90839803,0.90839803,0.908398013436664
46,0.2183511,0.96521425,0.9089473,0.9089473,0.9089472809295717
47,0.2175716,0.96540385,0.90947986,0.90947986,0.909479871599773
48,0.21680135,0.9655908,0.9099786,0.9099786,0.9099786282854393
49,0.21604452,0.96577215,0.91046923,0.91046923,0.9104692271540049
50,0.21529432,0.965954,0.91094065,0.91094065,0.9109406709970419
