Round,Loss,AUC,Precision,Recall,F1score
1,1.0296988487243652,0.6813603639602661,0.6274038553237915,0.6274038553237915,0.6274038603128037
2,0.2559245824813843,0.956724226474762,0.8924278616905212,0.8924278616905212,0.8924278616966957
3,0.22454573214054108,0.9645524024963379,0.9083533883094788,0.9083533883094788,0.9083534185615002
4,0.18865139782428741,0.9718038439750671,0.9271334409713745,0.9271334409713745,0.9271334266555009
5,0.1765258014202118,0.974473774433136,0.9329928159713745,0.9329928159713745,0.9329928112284005
6,0.14085282385349274,0.9835877418518066,0.9457632303237915,0.9457632303237915,0.945763210492237
7,0.13907171785831451,0.984436571598053,0.9477163553237915,0.9477163553237915,0.9477163645228107
8,0.13301584124565125,0.9847766757011414,0.9487680196762085,0.9487680196762085,0.9487679930361738
9,0.12969836592674255,0.9857565760612488,0.950270414352417,0.950270414352417,0.9502704402689299
10,0.12592321634292603,0.9857486486434937,0.9514723420143127,0.9514723420143127,0.9514723276374945
11,0.12255482375621796,0.9862745404243469,0.9528245329856873,0.9528245329856873,0.952824526204381
12,0.12215869128704071,0.9863466620445251,0.9538761973381042,0.9538761973381042,0.9538762013316306
13,0.12156831473112106,0.9864293336868286,0.9526742696762085,0.9526742696762085,0.952674248033344
14,0.12184926122426987,0.9859798550605774,0.9526742696762085,0.9526742696762085,0.952674248033344
15,0.11998507380485535,0.986510157585144,0.9555288553237915,0.9555288553237915,0.9555288547009272
16,0.11842543631792068,0.9867939949035645,0.9562800526618958,0.9562800526618958,0.9562800814798715
17,0.11863979697227478,0.9863989353179932,0.955979585647583,0.955979585647583,0.9559795958219993
18,0.11521022021770477,0.9873012900352478,0.9562800526618958,0.9562800526618958,0.9562800814798715
19,0.1159430593252182,0.9872974157333374,0.956129789352417,0.956129789352417,0.9561297673814346
