Round,Loss,AUC,Precision,Recall,F1score
1,0.6708328723907471,0.6307306885719299,0.606520414352417,0.606520414352417,0.6065204303890318
2,0.6222731471061707,0.7172346115112305,0.6265023946762085,0.6265023946762085,0.6265024071051128
3,0.5134543776512146,0.8416281938552856,0.7504507303237915,0.7504507303237915,0.7504506978847659
4,0.46924129128456116,0.8722714781761169,0.795973539352417,0.795973539352417,0.7959735574222979
5,0.394578754901886,0.9123347997665405,0.8419471383094788,0.8419471383094788,0.8419471582267821
6,0.3882284164428711,0.9130001664161682,0.8518629670143127,0.8518629670143127,0.8518629692687929
7,0.369193971157074,0.920073390007019,0.856520414352417,0.856520414352417,0.8565203909136433
8,0.35180795192718506,0.9264138340950012,0.859375,0.859375,0.859375
9,0.34864509105682373,0.9278604388237,0.8653846383094788,0.8653846383094788,0.8653846458492108
10,0.3278878331184387,0.9363073110580444,0.8728966116905212,0.8728966116905212,0.8728965791553643
11,0.3312651813030243,0.9347578287124634,0.8686898946762085,0.8686898946762085,0.8686899272261842
12,0.33145788311958313,0.933387041091919,0.8718449473381042,0.8718449473381042,0.87184492980886
13,0.32939672470092773,0.934707760810852,0.8712440133094788,0.8712440133094788,0.8712439836522406
14,0.32331129908561707,0.9374018907546997,0.8748497366905212,0.8748497366905212,0.8748497619799173
15,0.31959599256515503,0.9393280744552612,0.8745492696762085,0.8745492696762085,0.8745492759176315
16,0.32720667123794556,0.935565173625946,0.8722956776618958,0.8722956776618958,0.8722956470627706
17,0.3206895589828491,0.9378958344459534,0.873948335647583,0.873948335647583,0.873948365958689
18,0.32374730706214905,0.9361401200294495,0.8748497366905212,0.8748497366905212,0.8748497619799173
19,0.32236745953559875,0.9379066824913025,0.8737980723381042,0.8737980723381042,0.873798039127009
20,0.32271608710289,0.9358835220336914,0.875901460647583,0.875901460647583,0.8759014855747337
21,0.32030007243156433,0.939184308052063,0.8748497366905212,0.8748497366905212,0.8748497619799173
22,0.3153068423271179,0.9399427175521851,0.8748497366905212,0.8748497366905212,0.8748497619799173
23,0.31792089343070984,0.9383738040924072,0.875901460647583,0.875901460647583,0.8759014855747337
24,0.31442931294441223,0.9401964545249939,0.8762019276618958,0.8762019276618958,0.8762019285549906
25,0.3128785789012909,0.9413454532623291,0.8784555196762085,0.8784555196762085,0.8784555311907867
26,0.31234505772590637,0.9410297274589539,0.8792067170143127,0.8792067170143127,0.8792067409138355
27,0.3099673390388489,0.9408846497535706,0.880859375,0.880859375,0.880859375
28,0.30877918004989624,0.9426956176757812,0.880859375,0.880859375,0.880859375
