Round,Loss,AUC,Precision,Recall,F1score
1,0.2720637619495392,0.951654314994812,0.8840144276618958,0.8840144276618958,0.8840144232795222
2,0.22214055061340332,0.9666776657104492,0.9098557829856873,0.9098557829856873,0.9098557620656139
3,0.20983637869358063,0.9686285853385925,0.9175180196762085,0.9175180196762085,0.9175180164899264
4,0.20184843242168427,0.9704816937446594,0.9203726053237915,0.9203726053237915,0.920372585451086
5,0.16953565180301666,0.9759760499000549,0.936448335647583,0.936448335647583,0.936448332110835
6,0.1619541049003601,0.9776458740234375,0.938401460647583,0.938401460647583,0.938401452155914
7,0.15457385778427124,0.9794675707817078,0.9406550526618958,0.9406550526618958,0.9406550284943079
8,0.09336088597774506,0.9915810227394104,0.9684495329856873,0.9684495329856873,0.9684495590103501
9,0.071672223508358,0.9945862889289856,0.9768629670143127,0.9768629670143127,0.9768629537262126
10,0.06469424813985825,0.9950382709503174,0.9786658883094788,0.9786658883094788,0.9786658849844229
11,0.06098153442144394,0.9952175617218018,0.981370210647583,0.981370210647583,0.9813702196097581
12,0.059351105242967606,0.9953148365020752,0.9819711446762085,0.9819711446762085,0.9819711288953721
13,0.058166906237602234,0.9953803420066833,0.982421875,0.982421875,0.982421875
14,0.05591995269060135,0.9954816102981567,0.983473539352417,0.983473539352417,0.9834735236741352
15,0.05439944565296173,0.9956884980201721,0.9836238026618958,0.9836238026618958,0.983623783810774
16,0.05285871401429176,0.9957568049430847,0.9840745329856873,0.9840745329856873,0.9840745302053037
17,0.05048004910349846,0.996000349521637,0.985276460647583,0.985276460647583,0.9852764601218279
18,0.048701211810112,0.9962010383605957,0.985276460647583,0.985276460647583,0.9852764601218279
19,0.04665897414088249,0.9964239597320557,0.9864783883094788,0.9864783883094788,0.9864783614085517
20,0.04221290722489357,0.9967508316040039,0.9879807829856873,0.9879807829856873,0.9879808033112835
21,0.04148518666625023,0.9967713356018066,0.9881309866905212,0.9881309866905212,0.9881309586564481
22,0.039597127586603165,0.9968231916427612,0.9887319803237915,0.9887319803237915,0.9887319698315125
23,0.03684046491980553,0.9971956014633179,0.989332914352417,0.989332914352417,0.9893329128874534
